,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2018-01-01,0,0,0,0,0,0
2018-01-02,9,0,0,3,0,0
2018-01-03,4,1,0,1,1,2
2018-01-04,5,0,1,3,4,0
2018-01-05,14,1,2,2,6,1
2018-01-06,9,1,1,6,8,1
2018-01-07,7,1,0,2,4,1
2018-01-08,7,0,0,0,2,1
2018-01-09,9,0,1,1,1,3
2018-01-10,5,2,1,5,4,0
2018-01-11,11,1,0,1,2,0
2018-01-12,6,2,1,7,4,1
2018-01-13,14,6,0,7,6,4
2018-01-14,11,2,0,9,4,1
2018-01-15,11,2,1,3,1,0
2018-01-16,11,3,0,4,4,1
2018-01-17,9,3,0,1,3,0
2018-01-18,5,0,0,0,1,3
2018-01-19,3,4,0,0,6,1
2018-01-20,14,7,2,3,2,1
2018-01-21,13,3,0,4,5,0
2018-01-22,5,1,0,2,2,0
2018-01-23,5,0,0,0,5,1
2018-01-24,8,0,0,1,4,0
2018-01-25,2,4,1,1,3,0
2018-01-26,4,4,2,1,2,1
2018-01-27,12,2,0,5,5,2
2018-01-28,14,5,1,5,1,4
2018-01-29,3,2,0,1,3,1
2018-01-30,7,2,0,1,1,2
2018-01-31,7,0,0,3,6,0
2018-02-01,3,4,0,0,5,0
2018-02-02,8,4,0,6,5,1
2018-02-03,21,9,0,6,9,2
2018-02-04,10,11,0,7,6,5
2018-02-05,6,1,0,3,3,0
2018-02-06,14,3,0,4,5,2
2018-02-07,2,7,0,1,10,1
2018-02-08,2,3,0,5,3,2
2018-02-09,9,2,0,4,6,3
2018-02-10,34,13,0,14,13,10
2018-02-11,17,9,0,12,3,5
2018-02-12,12,4,1,5,6,3
2018-02-13,5,2,0,3,3,0
2018-02-14,12,7,0,3,8,3
2018-02-15,8,2,0,4,2,1
2018-02-16,14,8,1,5,9,6
2018-02-17,31,11,2,9,18,8
2018-02-18,13,19,1,27,17,4
2018-02-19,15,8,0,14,1,7
2018-02-20,9,3,0,9,7,1
2018-02-21,22,10,0,7,5,4
2018-02-22,13,8,0,6,4,1
2018-02-23,26,13,1,14,13,3
2018-02-24,29,24,1,24,36,17
2018-02-25,22,10,0,14,13,8
2018-02-26,8,6,0,11,5,1
2018-02-27,13,8,2,8,14,4
2018-02-28,15,9,0,7,2,2
2018-03-01,5,1,0,0,2,0
2018-03-02,21,11,1,7,7,4
2018-03-03,25,30,6,22,18,9
2018-03-04,13,12,2,12,10,9
2018-03-05,9,12,0,4,7,7
2018-03-06,8,10,0,6,6,5
2018-03-07,10,10,1,14,4,5
2018-03-08,21,13,3,12,16,8
2018-03-09,16,14,1,10,18,8
2018-03-10,24,27,2,22,29,13
2018-03-11,28,19,3,17,32,16
2018-03-12,19,20,1,10,12,12
2018-03-13,10,11,0,13,4,6
2018-03-14,10,11,1,6,12,6
2018-03-15,14,9,0,6,17,6
2018-03-16,11,17,2,21,17,11
2018-03-17,26,46,3,29,35,26
2018-03-18,21,31,1,23,32,27
2018-03-19,10,12,1,8,8,9
2018-03-20,20,10,1,10,7,4
2018-03-21,10,8,0,7,16,10
2018-03-22,12,15,1,15,6,10
2018-03-23,16,27,2,12,13,20
2018-03-24,35,32,1,35,27,21
2018-03-25,23,29,2,10,34,22
2018-03-26,18,17,0,8,8,16
2018-03-27,16,10,0,14,15,12
2018-03-28,24,25,0,17,18,16
2018-03-29,34,25,2,24,24,19
