,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2015-01-01,0,0,0,0,0,0
2015-01-02,0,0,0,0,0,0
2015-01-03,0,0,0,0,0,0
2015-01-04,0,0,0,0,0,0
2015-01-05,0,0,0,0,0,0
2015-01-06,0,0,0,0,0,0
2015-01-07,0,0,0,0,0,0
2015-01-08,0,0,0,0,0,0
2015-01-09,1,0,0,0,0,0
2015-01-10,6,0,0,1,0,0
2015-01-11,2,0,0,0,0,0
2015-01-12,2,2,0,1,1,0
2015-01-13,3,1,0,1,2,0
2015-01-14,8,1,0,0,2,1
2015-01-15,2,0,0,0,0,0
2015-01-16,4,2,0,3,0,0
2015-01-17,9,2,0,1,1,1
2015-01-18,9,1,0,1,2,0
2015-01-19,4,1,0,1,0,1
2015-01-20,3,0,0,0,1,0
2015-01-21,4,2,0,1,0,1
2015-01-22,1,3,0,0,0,0
2015-01-23,2,0,0,2,0,0
2015-01-24,3,0,3,2,1,2
2015-01-25,3,1,0,2,2,4
2015-01-26,4,1,0,0,2,0
2015-01-27,3,1,0,0,1,1
2015-01-28,2,1,0,1,2,1
2015-01-29,1,0,0,2,3,2
2015-01-30,5,1,0,2,3,0
2015-01-31,7,2,0,3,5,2
2015-02-01,3,1,1,3,5,0
2015-02-02,4,1,0,2,1,0
2015-02-03,14,1,0,3,0,0
2015-02-04,12,2,1,4,5,1
2015-02-05,4,1,0,3,1,0
2015-02-06,9,2,2,2,3,2
2015-02-07,12,2,2,6,10,5
2015-02-08,9,2,0,1,2,1
2015-02-09,9,3,0,5,1,2
2015-02-10,12,1,0,1,6,4
2015-02-11,10,0,1,3,6,1
2015-02-12,6,1,1,2,3,4
2015-02-13,13,2,1,2,4,3
2015-02-14,24,2,2,10,11,5
2015-02-15,7,1,0,3,6,1
2015-02-16,7,0,0,5,2,0
2015-02-17,10,3,0,3,11,2
2015-02-18,8,3,0,3,3,3
2015-02-19,12,2,1,3,8,2
2015-02-20,7,4,0,4,16,12
2015-02-21,24,8,4,11,18,14
2015-02-22,17,8,3,4,16,12
2015-02-23,11,5,0,1,11,4
2015-02-24,12,9,0,5,9,9
2015-02-25,12,5,0,8,11,8
2015-02-26,11,8,2,7,4,5
2015-02-27,12,3,1,5,13,9
2015-02-28,35,11,0,13,19,9
2015-03-01,20,8,4,6,25,18
2015-03-02,12,2,1,3,8,3
2015-03-03,9,3,1,7,5,7
2015-03-04,9,8,0,6,13,10
2015-03-05,11,6,2,6,8,8
2015-03-06,12,5,1,6,8,6
2015-03-07,23,9,1,8,15,16
2015-03-08,21,13,1,8,12,8
2015-03-09,9,5,3,6,6,7
2015-03-10,9,5,2,3,5,8
2015-03-11,23,5,3,14,8,10
2015-03-12,8,5,1,2,17,10
2015-03-13,42,4,0,3,7,12
2015-03-14,31,15,4,13,14,24
2015-03-15,25,13,2,13,18,12
2015-03-16,13,2,1,8,6,2
2015-03-17,18,7,4,9,12,10
2015-03-18,6,0,1,3,2,8
2015-03-19,17,6,1,9,6,6
2015-03-20,27,15,0,7,9,11
2015-03-21,35,12,0,13,19,24
2015-03-22,37,8,3,15,14,22
2015-03-23,17,5,0,7,6,9
2015-03-24,15,14,2,16,12,16
2015-03-25,14,8,0,6,12,13
2015-03-26,24,9,2,13,13,14
2015-03-27,28,10,2,9,15,16
2015-03-28,46,16,1,13,23,35
2015-03-29,22,7,2,12,15,21
2015-03-30,15,13,2,11,12,12
2015-03-31,16,8,1,2,10,10
2015-04-01,18,14,3,22,13,19
2015-04-02,12,16,1,7,16,27
2015-04-03,34,18,2,24,21,27
2015-04-04,70,27,6,32,31,47
2015-04-05,0,0,0,0,0,0
2015-04-06,0,0,0,0,0,0
2015-04-07,22,10,0,7,14,14
2015-04-08,15,7,2,6,6,11
2015-04-09,17,3,0,6,12,19
2015-04-10,23,20,2,16,13,14
2015-04-11,35,28,0,24,30,39
2015-04-12,22,12,2,11,17,13
2015-04-13,10,8,2,8,6,11
2015-04-14,11,14,1,6,13,8
2015-04-15,24,15,1,14,11,9
2015-04-16,23,5,0,6,9,10
2015-04-17,28,10,3,13,13,12
2015-04-18,62,31,1,25,25,35
2015-04-19,23,12,0,10,25,21
2015-04-20,7,7,2,6,10,11
2015-04-21,23,16,2,6,16,12
