,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2019-01-01,0,0,0,0,0,0
2019-01-02,16,1,1,1,4,0
2019-01-03,9,0,0,2,4,0
2019-01-04,14,0,0,3,2,0
2019-01-05,25,3,0,3,3,0
2019-01-06,14,2,1,6,3,0
2019-01-07,2,0,0,4,5,1
2019-01-08,15,1,1,7,4,0
2019-01-09,7,2,1,3,3,0
2019-01-10,4,0,0,1,3,0
2019-01-11,12,2,2,7,13,0
2019-01-12,16,2,0,8,16,1
2019-01-13,17,11,2,16,14,3
2019-01-14,11,1,0,13,8,0
2019-01-15,5,1,0,4,5,0
2019-01-16,3,3,0,1,6,1
2019-01-17,19,1,1,6,4,0
2019-01-18,10,6,0,5,8,1
2019-01-19,14,4,1,8,16,1
2019-01-20,14,0,0,13,11,1
2019-01-21,6,5,0,4,4,1
2019-01-22,4,2,0,3,5,1
2019-01-23,3,0,0,2,2,0
2019-01-24,3,2,0,2,4,1
2019-01-25,6,3,0,1,6,1
2019-01-26,11,7,0,10,34,6
2019-01-27,6,5,1,12,17,6
2019-01-28,7,5,0,5,6,0
2019-01-29,11,2,0,8,10,0
2019-01-30,6,3,0,4,5,3
2019-01-31,8,3,1,1,3,3
2019-02-01,6,10,0,6,7,3
2019-02-02,19,14,1,12,23,10
2019-02-03,11,6,0,15,15,6
2019-02-04,4,1,3,1,7,1
2019-02-05,4,1,0,3,4,2
2019-02-06,5,6,0,6,9,3
2019-02-07,4,4,0,8,7,0
2019-02-08,8,12,0,10,12,0
2019-02-09,19,13,0,20,32,10
2019-02-10,30,11,1,16,22,7
2019-02-11,6,4,0,4,10,2
2019-02-12,7,5,0,3,6,4
2019-02-13,5,9,1,7,14,4
2019-02-14,9,4,1,4,9,6
2019-02-15,5,9,0,3,8,8
2019-02-16,10,15,5,13,14,14
2019-02-17,6,13,1,6,11,13
2019-02-18,4,5,0,8,9,6
2019-02-19,15,9,0,10,8,5
2019-02-20,10,13,3,5,10,5
2019-02-21,6,3,1,10,10,7
2019-02-22,9,11,1,13,8,9
2019-02-23,18,12,4,11,16,8
2019-02-24,10,10,1,8,10,7
2019-02-25,8,10,1,7,8,12
2019-02-26,10,13,0,8,8,8
2019-02-27,10,8,1,12,11,8
2019-02-28,9,11,1,11,10,10
2019-03-01,28,15,0,7,16,14
2019-03-02,31,16,4,21,19,28
2019-03-03,11,25,4,20,21,22
2019-03-04,13,13,1,8,9,12
2019-03-05,10,5,2,8,10,11
2019-03-06,17,17,1,15,9,17
2019-03-07,16,17,2,15,7,10
2019-03-08,9,19,1,14,20,14
2019-03-09,29,35,5,30,41,32
2019-03-10,17,20,0,22,11,12
2019-03-11,13,14,1,8,10,13
2019-03-12,9,14,0,15,7,18
2019-03-13,7,18,2,14,12,11
2019-03-14,8,20,0,12,11,12
2019-03-15,19,32,2,11,13,21
2019-03-16,32,36,2,28,18,27
2019-03-17,15,25,2,18,18,20
2019-03-18,12,26,1,15,9,9
2019-03-19,18,27,2,15,19,15
2019-03-20,9,21,4,20,7,12
2019-03-21,13,15,1,17,5,11
2019-03-22,18,29,4,12,20,15
2019-03-23,32,31,5,22,20,16
2019-03-24,19,13,1,14,14,19
2019-03-25,20,10,1,7,6,14
2019-03-26,14,24,1,15,3,10
2019-03-27,20,23,0,21,11,17
2019-03-28,9,19,1,13,7,15
2019-03-29,20,16,1,17,6,4
2019-03-30,36,34,5,29,17,25
2019-03-31,15,26,1,17,19,20
2019-04-01,9,23,0,6,8,10
2019-04-02,10,19,2,13,7,7
2019-04-03,25,23,0,20,10,13
2019-04-04,7,18,0,9,7,13
2019-04-05,24,31,0,24,24,28
2019-04-06,32,47,1,31,33,28
2019-04-07,20,27,0,14,28,27
2019-04-08,5,14,1,18,17,8
2019-04-09,8,17,1,11,18,10
2019-04-10,15,14,0,11,14,12
2019-04-11,13,25,1,16,8,18
2019-04-12,23,20,1,11,11,20
2019-04-13,29,48,4,32,40,44
2019-04-14,33,30,2,36,34,30
2019-04-15,26,24,1,20,17,12
2019-04-16,18,19,3,19,12,17
2019-04-17,15,15,0,15,12,20
2019-04-18,17,22,0,15,18,10
2019-04-19,41,36,0,32,25,27
2019-04-20,37,42,0,41,35,33
2019-04-21,0,0,0,0,0,0
2019-04-22,16,20,1,12,8,11
2019-04-23,27,38,1,17,19,17
2019-04-24,24,30,1,33,20,24
2019-04-25,15,30,0,22,27,26
